,address,tokens_bought,tokens_sold,total_transactions,unique_tokens_bought,unique_tokens_sold,net_posters
247,0x6405518ffd2d9cb0353f66060a0f51e50af8069c,17,17,34,17,17,0
248,0xe7cafd2364754316b27dd54e66f1d6217843f100,17,17,34,17,17,0
249,0x710154a8503428d53710a620b8a1c970beddb8ca,17,17,34,17,17,0
250,0x3b76fa771e24f42cdd8306cb34af02d7ddea8be9,17,17,34,17,17,0
251,0x3d010781df9efe1b2ec90adbd7189f4b640de626,17,17,34,16,16,0
252,0x576201f59769504d3b4b8267b918205bc02ef7bf,17,17,34,17,17,0
253,0x35869a674086d32251aa1836ee38faa663917c67,17,17,34,17,17,0
254,0x6c2451ca1e28e0b6289521720fb41c84abb8b1dc,17,17,34,17,17,0
255,0x096e182e1e574a63324eac77a12ba0ae6f4a5e1a,30,4,34,29,4,26
256,0x8b5e704811ea1a01ec9933fe45ff823332808ccd,17,17,34,13,13,0
257,0x1259a5c3d6a30a18ee1e04daa2c6e43d4c442632,17,17,34,15,15,0
258,0x47d4da26ecb6bfa2d76b2b92794ffb67fb6f9165,17,17,34,17,17,0
259,0xe6787a6ea1c9faa825c26640cca4b43c3d8b8d95,16,16,32,16,16,0
260,0x76500b6a6c640ae7b695ef049f20d24a2ca476df,16,16,32,16,16,0
261,0x02a6a7ae12d0f3a6aa261268ce2f2cbccf49b8af,16,16,32,15,15,0
262,0xcfd469fae83098f72ed8464cc36a006a2170698f,18,14,32,18,14,4
263,0x8763739a69137235068f53bfe9b0bedbb03562c2,16,16,32,16,16,0
264,0x0e78d00950377ab5a877190506e3c06a3f62679a,16,16,32,15,15,0
265,0x4cec924686aa44056eb36064abe887d6af0d7cff,16,16,32,16,16,0
266,0xb73f8abc0371b1ab67f9daaedb7ecbc1b1dd7e79,16,16,32,16,16,0
267,0x795f50722cf5ad82f78dda8dc8f7b235332977c3,16,16,32,16,16,0
268,0x38f502d5194da3b4c0f5c887596cb9af6b5c6b0c,16,16,32,16,16,0
269,0xe90da7ea578fef3365631aaf7b9d5094152bfae9,16,16,32,16,16,0
270,0x16be2582ad35aa56a8a247c61ab0cb7b9ac8fe19,16,16,32,15,15,0
271,0x6e76b87237d4806fd53121e99f00bfce543dfee4,16,16,32,16,16,0
272,0x62c5a7a1030e703565b2d2b719b7a0e63bcdbefa,16,16,32,16,16,0
273,0x1c71a359a5a53cf3cc987cca4cc00a1690c939b9,16,16,32,14,14,0
274,0xbb515fe25936ad3ac07a8025c128afdd0d2e38be,16,16,32,16,16,0
275,0x2f5bf48294a40657c3e0b61527141ccbb0db5f98,16,16,32,16,16,0
276,0x21688d7c443844ebf63427c4e2abfaaabc50a405,16,16,32,16,16,0
277,0xa4e71328151667414485bf1d9b26e3ceb429edb8,16,16,32,16,16,0
278,0xaeead003ac29326a98a09fa5903a23396dd7dfc8,16,16,32,16,16,0
279,0xcdd4379ab6e38301288fee3ab23e48138a0ddb16,16,16,32,16,16,0
280,0xbca09f051914849670101eddc94e03b323a9fef6,16,16,32,16,16,0
281,0xccacdc149de9fdb9b289afbe8b7598f43d59d7a8,16,16,32,16,16,0
282,0x09f348ee653aeba21c55cdce289ae18cd6f4f5f1,17,15,32,17,15,2
283,0x21938a693771d5dbe7fce8d1ed6fe6a6efaf6435,31,0,31,31,0,31
284,0xf97664376416e9379f2354db444bfe3f00b6936b,25,6,31,25,6,19
285,0x51b2adf97650a8d732380f2d04f5922d740122e3,15,15,30,15,15,0
286,0x3b253817e9812ce79e7ce86646db8d12fbacbd8f,15,15,30,14,14,0
287,0x147cdd49c6846919107f990d70b75673b747b78f,15,15,30,15,15,0
288,0x4a2c786651229175407d3a2d405d1998bcf40614,30,0,30,30,0,30
289,0x7c2bd7661cc47fe502de0ae1129207c3192e87fc,15,15,30,15,15,0
290,0x8a7dbc2824acac4d272289a33b255c3f1f3cdf32,15,15,30,15,15,0
291,0xd7fc0645da5ae6ae4ce361fd3fc4d67a2a774a78,15,15,30,15,15,0
292,0x259478c08bdf4224a87f9420951d20df731131cf,20,10,30,20,10,10
293,0xc7a669d0de21f1885361e95fde3892534807b927,15,15,30,15,15,0
294,0x0582fc81f21686541623de723448c21e1e443522,15,15,30,15,15,0
295,0x53309c7eabc21ce6cb6822b861ef44c4949fc1cd,15,15,30,15,15,0
