,action,block_time,cost_basis,estimated_profit,ranking,token,traded_token,volume,wallet_address
10,sell,2021-10-30 13:26:49.000 UTC,15.571230197069978,,11,CORN,WMATIC,15.571230197069978,"<a href=https://polygonscan.com//address/0xa5e0829caced8ffdd4de3c43696c57f7d7a678ff target=_blank"">0xa5e0829caced8ffdd4de3c43696c57f7d7a678ff</a>"
11,sell,2021-08-07 16:08:43.000 UTC,33.12489323782253,,12,CORN,WMATIC,108.31929148677719,"<a href=https://polygonscan.com//address/0xa5e0829caced8ffdd4de3c43696c57f7d7a678ff target=_blank"">0xa5e0829caced8ffdd4de3c43696c57f7d7a678ff</a>"
12,buy,2021-09-01 11:46:26.000 UTC,,,13,CORN,Krill,,"<a href=https://polygonscan.com//address/0xb4f3ebda3ca71ab34c2b415a2e41bca6f8e82e1f target=_blank"">0xb4f3ebda3ca71ab34c2b415a2e41bca6f8e82e1f</a>"
13,buy,2021-05-17 02:34:31.000 UTC,31.667497864903957,,14,CORN,WMATIC,1.636655,"<a href=https://polygonscan.com//address/0x1f17e5e7796b0d0f69a8e57a200aaa94affb81a1 target=_blank"">0x1f17e5e7796b0d0f69a8e57a200aaa94affb81a1</a>"
14,buy,2021-09-20 23:05:52.000 UTC,10.309542698529674,,15,CORN,WMATIC,0.005958561274738766,"<a href=https://polygonscan.com//address/0x068afdb95a14e65b88e11c59a132d2bcab949ba4 target=_blank"">0x068afdb95a14e65b88e11c59a132d2bcab949ba4</a>"
15,sell,2021-06-15 22:35:33.000 UTC,59.76242583978316,,16,CORN,WMATIC,57.84717400236992,"<a href=https://polygonscan.com//address/0x604229c960e5cacf2aaeac8be68ac07ba9df81c3 target=_blank"">0x604229c960e5cacf2aaeac8be68ac07ba9df81c3</a>"
16,buy,2021-05-16 08:54:24.000 UTC,17.4645868591324,,17,CORN,WMATIC,17.70195,"<a href=https://polygonscan.com//address/0x628e449db79206d95c26b6cacce27328a5294a56 target=_blank"">0x628e449db79206d95c26b6cacce27328a5294a56</a>"
17,buy,2021-05-16 14:30:20.000 UTC,28.66134574366632,,18,CORN,WMATIC,5.71549878,"<a href=https://polygonscan.com//address/0xe7cbb8d73e5ca000816910f100d60b5fe33588f7 target=_blank"">0xe7cbb8d73e5ca000816910f100d60b5fe33588f7</a>"
18,buy,2021-11-04 23:37:25.000 UTC,,,19,CORN,Krill,,"<a href=https://polygonscan.com//address/0xb4f3ebda3ca71ab34c2b415a2e41bca6f8e82e1f target=_blank"">0xb4f3ebda3ca71ab34c2b415a2e41bca6f8e82e1f</a>"
19,buy,2021-07-02 22:50:16.000 UTC,39.09374646488607,,20,CORN,WMATIC,0.015418737225305026,"<a href=https://polygonscan.com//address/0x068afdb95a14e65b88e11c59a132d2bcab949ba4 target=_blank"">0x068afdb95a14e65b88e11c59a132d2bcab949ba4</a>"
